"","X","Y","HealthFacilityIDNumber","FacilityCategory","BusinessName","AddrNum","AddrNumSuffix","StreetName","StreetType","PostDir","Unit","City","State","County","ZipCode","APN","Ward","Neighborhood","Latitude","Longitude","X_WebMercator","Y_WebMercator"
"257",-10380857.7415,5614489.2122,"LIC52427","GROCERY","MECCA MEAT & GROCERY STORE",2600,"","BLOOMINGTON","AVE","","","Minneapolis","MN","Hennepin",55407,"3502924420286",9,"Midtown Phillips",44.95531,-93.25283,-10380857.7415,5614489.2122
"260",-10384726.927,5615465.7933,"LIC361178","GROCERY","WEDGE COMMUNITY CO-OP",2105,"","LYNDALE","AVE","S","","Minneapolis","MN","Hennepin",55405,"3402924220276",10,"Whittier",44.96152,-93.28759,-10384726.927,5615465.7933
"270",-10380857.7415,5614489.2122,"LIC383766","GROCERY","FIVE STAR MARKET",2606,"","BLOOMINGTON","AVE","","","Minneapolis","MN","Hennepin",55407,"3502924420286",9,"Midtown Phillips",44.95531,-93.25283,-10380857.7415,5614489.2122
"276",-10380770.2472,5612028.7215,"LIC53126","GROCERY","SAMS MARKET AND MEAT INC",1532,"","35TH","ST","E","","Minneapolis","MN","Hennepin",55407,"0202824410047",9,"Powderhorn Park",44.93967,-93.25205,-10380770.2472,5612028.7215
"281",-10382556.5484,5615590.906,"LIC25796","GROCERY","MIDWEST MARKET & HALAL",2000,"","PORTLAND","AVE","","","Minneapolis","MN","Hennepin",55404,"3402924110165",6,"Ventura Village",44.96232,-93.26809,-10382556.5484,5615590.906
"285",-10380201.5453,5616480.7639,"LIC50213","GROCERY","WADAJIR GROCERY AND MEAT MARKET",525,"","CEDAR","AVE","S","","Minneapolis","MN","Hennepin",55454,"2502924320612",6,"Cedar Riverside",44.96797,-93.24694,-10380201.5453,5616480.7639
"288",-10382889.9208,5617494.4889,"LIC360813","GROCERY","THE CITY MARKET",121,"","8TH","ST","S","270","Minneapolis","MN","Hennepin",55402,"2702924110080",7,"Downtown West",44.97441,-93.27109,-10382889.9208,5617494.4889
"289",-10380607.0898,5616700.6608,"LIC36922","FOODSHELF","LITTLE KITCHEN FOOD SHELF",1500,"","6TH","ST","NE","","Minneapolis","MN","Hennepin",55413,"2602924410062",NA,"",44.96936,-93.25057,-10380607.0898,5616700.6608
"290",-10380773.7837,5613986.406,"LIC46067","GROCERY","SUPER MORE VALUE",2747,"","BLOOMINGTON","AVE","","","Minneapolis","MN","Hennepin",55407,"3502924410022",9,"East Phillips",44.95212,-93.25208,-10380773.7837,5613986.406
"294",-10380238.9083,5619011.2951,"LIC374239","GROCERY","MR SANTANA",601,"","UNIVERSITY","AVE","SE","","Minneapolis","MN","Hennepin",55414,"2402924320086",3,"Marcy Holmes",44.98405,-93.24727,-10380238.9083,5619011.2951
