"","GEOID","NAME","variable","estimate","moe"
"105","270530120013","Block Group 3; Census Tract 120.01; Hennepin County; Minnesota","median_income",80179,42822
"106","270530120014","Block Group 4; Census Tract 120.01; Hennepin County; Minnesota","median_income",95375,64962
"107","270530120015","Block Group 5; Census Tract 120.01; Hennepin County; Minnesota","median_income",143750,50344
"108","270530120016","Block Group 6; Census Tract 120.01; Hennepin County; Minnesota","median_income",155268,35874
"109","270530120031","Block Group 1; Census Tract 120.03; Hennepin County; Minnesota","median_income",67500,37785
"110","270530120032","Block Group 2; Census Tract 120.03; Hennepin County; Minnesota","median_income",114423,95108
"111","270530120033","Block Group 3; Census Tract 120.03; Hennepin County; Minnesota","median_income",190662,155017
"112","270530120034","Block Group 4; Census Tract 120.03; Hennepin County; Minnesota","median_income",82750,46664
"113","270530120035","Block Group 5; Census Tract 120.03; Hennepin County; Minnesota","median_income",164297,33334
"114","270530120036","Block Group 6; Census Tract 120.03; Hennepin County; Minnesota","median_income",93846,5050
"115","270530121011","Block Group 1; Census Tract 121.01; Hennepin County; Minnesota","median_income",111058,30916
"116","270530121012","Block Group 2; Census Tract 121.01; Hennepin County; Minnesota","median_income",NA,NA
"117","270530121013","Block Group 3; Census Tract 121.01; Hennepin County; Minnesota","median_income",142094,13678
"118","270530121021","Block Group 1; Census Tract 121.02; Hennepin County; Minnesota","median_income",89773,24287
"119","270530121022","Block Group 2; Census Tract 121.02; Hennepin County; Minnesota","median_income",80833,25719
"120","270530121023","Block Group 3; Census Tract 121.02; Hennepin County; Minnesota","median_income",99833,85579
"121","270530201011","Block Group 1; Census Tract 201.01; Hennepin County; Minnesota","median_income",250001,NA
"122","270530201012","Block Group 2; Census Tract 201.01; Hennepin County; Minnesota","median_income",138750,37309
"123","270530201013","Block Group 3; Census Tract 201.01; Hennepin County; Minnesota","median_income",119934,29121
"124","270530201021","Block Group 1; Census Tract 201.02; Hennepin County; Minnesota","median_income",104542,16172
"125","270530201022","Block Group 2; Census Tract 201.02; Hennepin County; Minnesota","median_income",NA,NA
"126","270530201023","Block Group 3; Census Tract 201.02; Hennepin County; Minnesota","median_income",62560,16902
"127","270530202011","Block Group 1; Census Tract 202.01; Hennepin County; Minnesota","median_income",NA,NA
"128","270530202012","Block Group 2; Census Tract 202.01; Hennepin County; Minnesota","median_income",45244,18062
"129","270530202013","Block Group 3; Census Tract 202.01; Hennepin County; Minnesota","median_income",12679,3292
"130","270530202021","Block Group 1; Census Tract 202.02; Hennepin County; Minnesota","median_income",69286,66920
"131","270530202022","Block Group 2; Census Tract 202.02; Hennepin County; Minnesota","median_income",59335,24776
"132","270530202023","Block Group 3; Census Tract 202.02; Hennepin County; Minnesota","median_income",75477,11196
"133","270530202024","Block Group 4; Census Tract 202.02; Hennepin County; Minnesota","median_income",59180,15794
"134","270530202025","Block Group 5; Census Tract 202.02; Hennepin County; Minnesota","median_income",72938,14279
"135","270530203011","Block Group 1; Census Tract 203.01; Hennepin County; Minnesota","median_income",88281,38807
"136","270530203012","Block Group 2; Census Tract 203.01; Hennepin County; Minnesota","median_income",85727,14151
"137","270530203021","Block Group 1; Census Tract 203.02; Hennepin County; Minnesota","median_income",52684,9876
"138","270530203022","Block Group 2; Census Tract 203.02; Hennepin County; Minnesota","median_income",58884,9502
"139","270530203031","Block Group 1; Census Tract 203.03; Hennepin County; Minnesota","median_income",73966,19972
"140","270530203032","Block Group 2; Census Tract 203.03; Hennepin County; Minnesota","median_income",99928,39554
"141","270530203033","Block Group 3; Census Tract 203.03; Hennepin County; Minnesota","median_income",88977,6648
"142","270530203041","Block Group 1; Census Tract 203.04; Hennepin County; Minnesota","median_income",67446,10766
"143","270530203042","Block Group 2; Census Tract 203.04; Hennepin County; Minnesota","median_income",77927,18149
"144","270530203043","Block Group 3; Census Tract 203.04; Hennepin County; Minnesota","median_income",68944,10403
"145","270530204001","Block Group 1; Census Tract 204; Hennepin County; Minnesota","median_income",82767,5405
"146","270530204002","Block Group 2; Census Tract 204; Hennepin County; Minnesota","median_income",53382,28163
"147","270530204003","Block Group 3; Census Tract 204; Hennepin County; Minnesota","median_income",61233,8060
"148","270530204004","Block Group 4; Census Tract 204; Hennepin County; Minnesota","median_income",NA,NA
"149","270530204005","Block Group 5; Census Tract 204; Hennepin County; Minnesota","median_income",42949,32699
"150","270530205001","Block Group 1; Census Tract 205; Hennepin County; Minnesota","median_income",65690,18598
"151","270530205002","Block Group 2; Census Tract 205; Hennepin County; Minnesota","median_income",106750,34269
"152","270530205003","Block Group 3; Census Tract 205; Hennepin County; Minnesota","median_income",90057,18154
"153","270530206001","Block Group 1; Census Tract 206; Hennepin County; Minnesota","median_income",91094,17016
"154","270530206002","Block Group 2; Census Tract 206; Hennepin County; Minnesota","median_income",74046,11034
"155","270530207001","Block Group 1; Census Tract 207; Hennepin County; Minnesota","median_income",83750,23882
"156","270530207002","Block Group 2; Census Tract 207; Hennepin County; Minnesota","median_income",108462,37525
"157","270530207003","Block Group 3; Census Tract 207; Hennepin County; Minnesota","median_income",68810,20487
"158","270530208011","Block Group 1; Census Tract 208.01; Hennepin County; Minnesota","median_income",67723,9677
"159","270530208012","Block Group 2; Census Tract 208.01; Hennepin County; Minnesota","median_income",89821,35329
"160","270530208041","Block Group 1; Census Tract 208.04; Hennepin County; Minnesota","median_income",45938,13179
"161","270530208042","Block Group 2; Census Tract 208.04; Hennepin County; Minnesota","median_income",71990,6322
"162","270530208043","Block Group 3; Census Tract 208.04; Hennepin County; Minnesota","median_income",135361,37899
"163","270530209021","Block Group 1; Census Tract 209.02; Hennepin County; Minnesota","median_income",94063,4131
"164","270530209022","Block Group 2; Census Tract 209.02; Hennepin County; Minnesota","median_income",121414,13050
"165","270530209031","Block Group 1; Census Tract 209.03; Hennepin County; Minnesota","median_income",106438,17402
"166","270530209032","Block Group 2; Census Tract 209.03; Hennepin County; Minnesota","median_income",85990,12172
"167","270530209033","Block Group 3; Census Tract 209.03; Hennepin County; Minnesota","median_income",98000,32210
"168","270530210011","Block Group 1; Census Tract 210.01; Hennepin County; Minnesota","median_income",78864,1087
"169","270530210012","Block Group 2; Census Tract 210.01; Hennepin County; Minnesota","median_income",90000,37099
"170","270530210013","Block Group 3; Census Tract 210.01; Hennepin County; Minnesota","median_income",114464,61660
"171","270530210014","Block Group 4; Census Tract 210.01; Hennepin County; Minnesota","median_income",37431,15113
"172","270530210015","Block Group 5; Census Tract 210.01; Hennepin County; Minnesota","median_income",119591,27020
"173","270530210021","Block Group 1; Census Tract 210.02; Hennepin County; Minnesota","median_income",101875,6756
"174","270530210022","Block Group 2; Census Tract 210.02; Hennepin County; Minnesota","median_income",55962,6275
"175","270530210023","Block Group 3; Census Tract 210.02; Hennepin County; Minnesota","median_income",99375,34773
"176","270530211001","Block Group 1; Census Tract 211; Hennepin County; Minnesota","median_income",81250,31672
"177","270530211002","Block Group 2; Census Tract 211; Hennepin County; Minnesota","median_income",72750,28665
"178","270530212001","Block Group 1; Census Tract 212; Hennepin County; Minnesota","median_income",112070,22424
"179","270530212002","Block Group 2; Census Tract 212; Hennepin County; Minnesota","median_income",104583,36757
"180","270530212003","Block Group 3; Census Tract 212; Hennepin County; Minnesota","median_income",138750,29279
"181","270530212004","Block Group 4; Census Tract 212; Hennepin County; Minnesota","median_income",103427,16019
"182","270530212005","Block Group 5; Census Tract 212; Hennepin County; Minnesota","median_income",62297,11223
"183","270530213001","Block Group 1; Census Tract 213; Hennepin County; Minnesota","median_income",35045,21685
"184","270530213002","Block Group 2; Census Tract 213; Hennepin County; Minnesota","median_income",76447,39426
