"","address","closest_store","transit_time","latitude","longitude"
"199","2213 Grand Avenue South, Minneapolis, MN 55405","GROVELAND FOOD SHELF","11 mins",44.9604,-93.2839
"200","173 Bedford Street Southeast, Minneapolis, MN 55414","TEAMSTERS HELPING TEAMSTERS FOOD","16 mins",44.9632,-93.2087
"201","2743 Thomas Avenue South, Minneapolis, MN 55416","JOYCE FOOD SHELF","21 mins",44.9529,-93.3132
"202","2833 17th Avenue South, Minneapolis, MN 55407","ISUROON","4 mins",44.9507,-93.2495
"203","2853 34th Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","40 mins",44.9504,-93.2226
"204","2643 Irving Avenue South, Minneapolis, MN 55408","DIVISION OF INDIAN WORK","15 mins",44.9545,-93.3
"205","1633 East River Parkway, Minneapolis, MN 55414","GLENDALE FOOD SHELF","21 mins",44.9612,-93.2151
"206","2933 43rd Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","37 mins",44.9491,-93.2111
"207","2833 30th Avenue South, Minneapolis, MN 55406","ISUROON","17 mins",44.9508,-93.228
"208","1213 26th Street East, Minneapolis, MN 55404","PILLSBURY UNITED COMM WAITE HOUSE","7 mins",44.9553,-93.2568
"209","2523 30th Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","30 mins",44.9565,-93.2279
"210","2733 10th Avenue South, Minneapolis, MN 55407","CLUES","9 mins",44.9527,-93.2597
"211","2523 15th Avenue South, Minneapolis, MN 55404","PILLSBURY UNITED COMM WAITE HOUSE","9 mins",44.9565,-93.2533
"212","2633 18th Avenue South, Minneapolis, MN 55407","ISUROON","11 mins",44.9543,-93.2483
"213","2533 12th Avenue South, Minneapolis, MN 55404","PILLSBURY UNITED COMM WAITE HOUSE","5 mins",44.956,-93.2571
"214","2913 37th Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","40 mins",44.9496,-93.2188
"215","2833 Oakland Avenue, Minneapolis, MN 55407","CLUES","8 mins",44.951,-93.2661
"216","2813 25th Street East, Minneapolis, MN 55406","GLENDALE FOOD SHELF","31 mins",44.9571,-93.2306
"217","2813 34th Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","39 mins",44.9515,-93.2226
"218","2423 15th Avenue South, Minneapolis, MN 55404","PILLSBURY UNITED COMM WAITE HOUSE","6 mins",44.9583,-93.2533
"219","2733 Cedar Avenue South, Minneapolis, MN 55407","ISUROON","10 mins",44.9527,-93.247
"220","2733 Upton Avenue South, Minneapolis, MN 55416","JOYCE FOOD SHELF","16 mins",44.9532,-93.3143
"221","2323 Bryant Avenue South, Minneapolis, MN 55405","GROVELAND FOOD SHELF","13 mins",44.9593,-93.2902
"222","2543 11th Avenue South, Minneapolis, MN 55404","PILLSBURY UNITED COMM WAITE HOUSE","7 mins",44.9558,-93.2584
"223","2823 14th Avenue South, Minneapolis, MN 55407","ISUROON","9 mins",44.9511,-93.2547
"224","2453 Lyndale Avenue South, Minneapolis, MN 55405","GROVELAND FOOD SHELF","11 mins",44.9576,-93.2876
"225","2113 28th Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","26 mins",44.9615,-93.231
"226","2833 Dorman Avenue, Minneapolis, MN 55406","GLENDALE FOOD SHELF","42 mins",44.9513,-93.2102
"227","2913 42nd Avenue South, Minneapolis, MN 55406","GLENDALE FOOD SHELF","37 mins",44.9496,-93.2124
"228","2743 Emerson Avenue South, Minneapolis, MN 55408","DIVISION OF INDIAN WORK","9 mins",44.9524,-93.2941
