id,HMMReg2,HMMReg1
966,0.965,0.035
967,0.99,0.01
968,0.975,0.025
969,0.973,0.027
970,0.994,0.006
971,0.992,0.008
972,0.988,0.012
973,0.974,0.026
974,0.989,0.011
975,0.911,0.089
976,0.975,0.025
977,0.985,0.015
978,0.992,0.008
979,0.989,0.011
980,0.948,0.052
981,0.983,0.017
982,0.964,0.036
983,0.957,0.043
984,0.983,0.017
985,0.874,0.126
986,0.851,0.149
987,0.904,0.096
988,0.974,0.026
989,0.984,0.016
990,0.761,0.239
991,0.96,0.04
992,0.91,0.09
993,0.879,0.121
994,0.914,0.086
995,0.944,0.056
996,0.946,0.054
997,0.952,0.048
998,0.982,0.018
999,0.964,0.036
